"execution_id","end_time","error_message","file_list","files_processed","start_time","status","stepfunctions_execution"
"ingestion_20260316_162128","2026-03-16T16:21:29.346421Z","","[]","0","2026-03-16T16:21:28.664257Z","SUCCESS",""
"ingestion_20260309_154914","2026-03-09T15:49:14.672174Z","""('invalid_grant: Token has been expired or revoked.', {'error': 'invalid_grant', 'error_description': 'Token has been expired or revoked.'})""","[]","0","2026-03-09T15:49:14.274858Z","FAILED",""
"ingestion_20260316_162309","2026-03-16T16:23:09.942970Z","","[]","0","2026-03-16T16:23:09.250980Z","SUCCESS","{}"
"ingestion_20260316_193207","2026-03-16T19:32:08.532542Z","","[]","0","2026-03-16T19:32:07.996406Z","SUCCESS","{}"
"ingestion_20260316_192507","2026-03-16T19:25:26.013875Z","","[{""S"":""PBJ_Daily_Nurse_Staffing_Q2_2025.csv""},{""S"":""NH_SurveySummary_Oct2025.csv""},{""S"":""NH_QualityMsr_Claims_Oct2025.csv""},{""S"":""NH_Ownership_Oct2025.csv""}]","4","2026-03-16T19:25:07.020258Z","SUCCESS","{""executionName"":{""S"":""pipeline-2026-03-16-192525""},""executionArn"":{""S"":""arn:aws:states:us-east-1:440222523928:execution:healthcare-data-pipeline-orchestrator:pipeline-2026-03-16-192525""}}"
"ingestion_20260316_193138","2026-03-16T19:31:39.297273Z","","[]","0","2026-03-16T19:31:38.695716Z","SUCCESS","{}"
"ingestion_20260226_222555","2026-02-26T22:25:56.700152Z","","[]","0","2026-02-26T22:25:55.772280Z","SUCCESS",""
"ingestion_20260316_171856","2026-03-16T17:18:57.535739Z","","[]","0","2026-03-16T17:18:56.783380Z","SUCCESS","{}"
"ingestion_20260316_170446","2026-03-16T17:04:46.995330Z","","[]","0","2026-03-16T17:04:46.238849Z","SUCCESS","{}"
"ingestion_20260316_171000","2026-03-16T17:10:00.804084Z","","[]","0","2026-03-16T17:10:00.129878Z","SUCCESS","{}"
"ingestion_20260316_193115","2026-03-16T19:31:15.961946Z","","[]","0","2026-03-16T19:31:15.372932Z","SUCCESS","{}"
"ingestion_20260316_172454","2026-03-16T17:24:56.460033Z","","[{""S"":""NH_Penalties_Nov2024.csv""}]","1","2026-03-16T17:24:54.760124Z","SUCCESS","{""executionName"":{""S"":""pipeline-2026-03-16-172456""},""executionArn"":{""S"":""arn:aws:states:us-east-1:440222523928:execution:healthcare-data-pipeline-orchestrator:pipeline-2026-03-16-172456""}}"
"ingestion_20260316_194313","2026-03-16T19:43:14.845966Z","","[]","0","2026-03-16T19:43:13.981479Z","SUCCESS","{}"
