FACILITY_ID,PROCESSING_DATE,READMISSION_RATE_SHORT_STAY,ED_VISIT_RATE_SHORT_STAY,HOSPITALIZATION_RATE_LONG_STAY,ED_VISIT_RATE_LONG_STAY
015012,2024-10-01,19.420665,18.451639,2.823951,2.914717
015016,2024-10-01,17.201365,12.809142,2.261691,1.211598
015023,2024-10-01,,,,
015024,2024-10-01,24.205271,13.78181,1.135931,0.973956
015060,2024-10-01,,,1.321616,1.747654
015044,2024-10-01,,,1.736266,3.091723
015045,2024-10-01,,,0.196454,2.020168
015048,2024-10-01,35.311117,1.192868,3.528723,0.643082
015101,2024-10-01,,,,
015112,2024-10-01,,,,
015126,2024-10-01,30.116508,13.391814,1.706947,2.887177
015143,2024-10-01,19.722105,9.86067,2.767497,1.629102
015167,2024-10-01,,,0.741494,0.559721
015180,2024-10-01,25.717906,15.786729,1.538518,1.005199
015189,2024-10-01,44.846764,12.049821,,
015326,2024-10-01,20.295616,7.326333,1.878745,0.835136
015119,2024-10-01,25.160189,7.807629,2.774954,1.013426
015157,2024-10-01,27.076904,8.829924,3.299512,1.721237
015197,2024-10-01,,,2.607104,1.461282
015199,2024-10-01,18.893912,9.385527,2.38571,1.37608
015210,2024-10-01,26.266296,17.757472,2.485269,2.341284
015223,2024-10-01,15.807316,10.958698,2.140142,1.632432
015225,2024-10-01,21.508824,16.63663,1.258129,2.047411
015303,2024-10-01,,,1.625491,2.210203
015320,2024-10-01,14.355252,13.075944,1.347236,1.393061
015388,2024-10-01,23.84426,8.514825,1.859917,1.749277
015391,2024-10-01,25.547831,14.603894,1.37853,0.5016
015392,2024-10-01,33.944995,14.143133,1.59115,1.620349
015396,2024-10-01,,,1.354546,0.846753
015411,2024-10-01,21.77731,25.30367,1.797255,1.938019
015465,2024-10-01,22.868513,11.205408,2.276898,1.961453
025019,2024-10-01,,,,
025025,2024-10-01,17.820889,17.14623,1.578435,3.023409
025026,2024-10-01,,,,
035062,2024-10-01,,,,
035074,2024-10-01,29.225691,6.994069,,
035087,2024-10-01,16.003092,7.19438,,
035140,2024-10-01,22.278338,11.304732,,
035151,2024-10-01,30.021019,7.804099,,
035165,2024-10-01,16.470989,2.609447,,
035249,2024-10-01,35.466483,28.751341,2.35936,5.05919
035270,2024-10-01,,,,
035280,2024-10-01,23.855293,12.638016,,
035287,2024-10-01,21.938067,18.906434,,
045218,2024-10-01,29.352306,10.317904,3.411066,2.324469
045245,2024-10-01,14.141514,9.499436,1.162317,1.504373
045377,2024-10-01,21.49103,29.569919,0.992029,1.265788
045387,2024-10-01,27.760464,12.187383,1.312007,1.781725
035105,2024-10-01,35.017675,10.430669,,
045142,2024-10-01,32.154823,10.617022,1.626392,0.877098
045227,2024-10-01,37.319044,21.870863,3.804949,1.844932
045267,2024-10-01,33.204998,14.392602,1.862972,2.356935
045275,2024-10-01,,,1.648619,1.81973
045433,2024-10-01,20.785834,26.548825,2.106405,2.808668
045452,2024-10-01,32.04894,13.154726,3.479223,4.858534
045474,2024-10-01,,,0.896753,0.236166
