STATE,AVG_TOTAL_NURSING_HPRD,AVG_RN_HPRD,AVG_LPN_HPRD,AVG_CNA_HPRD,AVG_TOTAL_TURNOVER_PCT,AVG_RN_TURNOVER_PCT,AVG_FINES_COUNT,AVG_FINE_AMOUNT,PROCESSING_DATE,_LOAD_TIME
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NATION,3.83737,0.66807,0.88,2.29,48.8,45.5,1.7,37827,2024-10-01,2026-03-09 08:58:02.593
AK,7.09344,2.15047,0.72,4.22,46.7,42.2,1.8,32939,2024-10-01,2026-03-09 08:58:02.593
AL,3.86755,0.60125,0.81,2.46,49.1,42.1,0.8,11855,2024-10-01,2026-03-09 08:58:02.593
AR,4.04894,0.405,0.97,2.67,51.9,46.6,0.7,10290,2024-10-01,2026-03-09 08:58:02.593
AZ,4.06338,0.71534,1.05,2.3,48.4,46.8,0.6,6296,2024-10-01,2026-03-09 08:58:02.593
CA,4.42058,0.60068,1.23,2.59,41.1,42.5,2.2,26657,2024-10-01,2026-03-09 08:58:02.593
CO,3.77729,0.85022,0.7,2.22,54.6,51.9,2.8,37398,2024-10-01,2026-03-09 08:58:02.593
CT,3.74998,0.70814,0.83,2.21,39.2,40.1,1.5,27311,2024-10-01,2026-03-09 08:58:02.593
DC,4.98328,1.73054,0.67,2.58,31.6,33.4,2.8,140854,2024-10-01,2026-03-09 08:58:02.593
DE,4.54763,1.06116,1.02,2.47,47.8,44.3,1.2,47360,2024-10-01,2026-03-09 08:58:02.593
FL,3.89495,0.7355,0.81,2.35,45.1,47.9,1.7,38204,2024-10-01,2026-03-09 08:58:02.593
GA,3.55872,0.47568,0.97,2.11,49.9,45.3,1.5,21378,2024-10-01,2026-03-09 08:58:02.593
GU,,,,,,,1,650,2024-10-01,2026-03-09 08:58:02.593
HI,4.7635,1.57487,0.38,2.81,35.6,33.6,1.4,33772,2024-10-01,2026-03-09 08:58:02.593
IA,3.77637,0.7513,0.59,2.44,47.8,44.6,1.6,28148,2024-10-01,2026-03-09 08:58:02.593
